modal,Answer.condition,response_times,instruction3,displayID,instruction1,location2,target,location4,ExpFiller,response,condition,Answer.time_in_minutes,competitor,list,location3,location1,correctAns,workerid
usually,undefined,,,1,The |arrow |usually lands on |blue.,marble_100-0_b,4,wheel_25-75_g-b,prac,"['AOI3', 'AOI2', 'AOI1', 'AOI3']",prac,4.178416666666666,3,,wheel_100-0_g,marble_25-75_g-b,AOI4,0
always,undefined,"[232, 480, 692, 963]",The |marble |always lands on |yellow.,6,,wheel_25-75_y-g,4,marble_100-0_y,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,2.6679166666666667,3,1,marble_25-75_y-g,wheel_100-0_y,AOI4,2
rarely,undefined,"[529, 778, 1000, 1242]",The |arrow |rarely lands on |yellow.,1,,wheel_100-0_y,1,marble_25-75_b-y,Exp,"['AOI4', 'AOI4', 'AOI4', 'AOI4']",prag,2.6679166666666667,2,1,marble_100-0_b,wheel_25-75_y-b,AOI1,2
rarely,undefined,"[635, 865, 1104, 1276]",The |marble |rarely lands on |blue.,7,,wheel_25-75_b-g,3,marble_100-0_b,Exp,"['AOI2', 'AOI2', 'AOI2', 'AOI2']",prag,2.6679166666666667,4,1,marble_25-75_b-g,wheel_100-0_b,AOI3,2
rarely,undefined,"[267, 770, 1017, 1282]",The |arrow |rarely lands on |green.,11,,marble_25-75_g-y,4,wheel_25-75_g-y,Exp,"['AOI2', 'AOI1', 'AOI1', 'AOI1']",prag,2.6679166666666667,3,1,wheel_100-0_g,marble_100-0_g,AOI4,2
usually,undefined,"[168, 385, 1483, 1716]",The |arrow |usually lands on |blue.,3,,wheel_100-0_g,1,marble_100-0_g,Exp,"['AOI1', 'AOI1', 'AOI3', 'AOI3']",prag,2.6679166666666667,2,1,marble_25-75_g-b,wheel_25-75_g-b,AOI1,2
num0,undefined,"[249, 928, 1168, 1428]",The |arrow |has a 0% chance of landing on |blue.,5,,wheel_100-0_y,2,marble_25-75_y-b,Filler,"['AOI3', 'AOI4', 'AOI4', 'AOI4']",prag,2.6679166666666667,1,1,marble_100-0_y,wheel_25-75_y-b,AOI2,2
num25,undefined,"[209, 457, 1307, 1520]",The |arrow |has a 25% chance of landing on |blue.,27,,marble_100-0_b,4,wheel_25-75_b-g,Filler,"['AOI4', 'AOI4', 'AOI2', 'AOI2']",late,2.6679166666666667,3,1,wheel_25-75_g-b,marble_100-0_g,AOI4,2
num75,undefined,"[226, 449, 969, 1168]",The |marble |has a 75% chance of landing on |yellow.,30,,wheel_100-0_y,4,marble_25-75_b-y,Filler,"['AOI2', 'AOI2', 'AOI1', 'AOI1']",late,2.6679166666666667,3,1,marble_25-75_y-b,wheel_100-0_b,AOI4,2
num0,undefined,"[228, 986, 1207, 1495]",The |marble |has a 0% chance of landing on |green.,26,,marble_100-0_g,1,wheel_25-75_g-b,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",late,2.6679166666666667,2,1,wheel_25-75_b-g,marble_100-0_b,AOI1,2
num25,undefined,"[438, 629, 855, 1470]",The |marble |has a 25% chance of landing on |green.,28,,marble_25-75_g-y,2,wheel_100-0_y,Filler,"['AOI4', 'AOI4', 'AOI4', 'AOI2']",late,2.6679166666666667,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,2
always,undefined,"[451, 758, 1054, 2047]",The |marble |always lands on |yellow.,4,,marble_100-0_y,2,wheel_25-75_g-y,Exp,"['AOI1', 'AOI1', 'AOI2', 'AOI3']",prag,2.6679166666666667,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,2
usually,undefined,,,1,The |arrow |usually lands on |blue.,marble_100-0_b,4,wheel_25-75_g-b,prac,"['AOI1', 'AOI1', 'AOI1', 'AOI4']",prac,7.749066666666667,3,,wheel_100-0_g,marble_25-75_g-b,AOI4,3
num25,undefined,,,2,The |marble |has a 25% chance of landing on |green.,wheel_25-75_y-g,3,marble_100-0_g,prac,"['AOI1', 'AOI1', 'AOI3', 'AOI3']",prac,7.749066666666667,4,,marble_25-75_g-y,wheel_100-0_g,AOI3,3
num100,undefined,,,3,The |arrow |has a 100% chance of landing on |yellow.,wheel_100-0_y,2,marble_25-75_y-b,prac,"['AOI3', 'AOI1', 'AOI1', 'AOI2']",prac,7.749066666666667,1,,marble_25-75_b-y,wheel_100-0_b,AOI2,3
never,undefined,,,4,The |marble |never lands on |green.,marble_25-75_b-g,1,wheel_25-75_b-g,prac,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",prac,7.749066666666667,3,,wheel_100-0_g,marble_100-0_b,AOI1,3
num0,undefined,"[3020, 4465, 8012, 9290]",The |arrow |has a 0% chance of landing on |blue.,5,,wheel_100-0_y,2,marble_25-75_y-b,Filler,"['AOI1', 'AOI1', 'AOI2', 'AOI2']",prag,7.749066666666667,1,1,marble_100-0_y,wheel_25-75_y-b,AOI2,3
never,undefined,"[1565, 2522, 9109, 9851]",The |arrow |never lands on |yellow.,4,,marble_25-75_y-g,4,wheel_100-0_g,Exp,"['AOI1', 'AOI1', 'AOI4', 'AOI4']",prag,7.749066666666667,3,1,wheel_25-75_g-y,marble_100-0_y,AOI4,3
always,undefined,"[1456, 3277, 5563, 6424]",The |marble |always lands on |yellow.,6,,wheel_25-75_y-g,4,marble_100-0_y,Exp,"['AOI3', 'AOI3', 'AOI4', 'AOI4']",prag,7.749066666666667,3,1,marble_25-75_y-g,wheel_100-0_y,AOI4,3
num100,undefined,"[1606, 3041, 4808, 5722]",The |marble |has a 100% chance of landing on |yellow.,6,,wheel_25-75_y-g,3,marble_25-75_y-g,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,7.749066666666667,4,1,marble_100-0_y,wheel_100-0_y,AOI3,3
usually,undefined,"[1313, 3818, 8023, 9057]",The |marble |usually lands on |blue.,9,,wheel_100-0_b,4,marble_25-75_g-b,Exp,"['AOI3', 'AOI3', 'AOI4', 'AOI4']",prag,7.749066666666667,3,1,marble_100-0_g,wheel_25-75_b-g,AOI4,3
rarely,undefined,"[1868, 3410, 5793, 7619]",The |marble |rarely lands on |blue.,7,,wheel_25-75_b-g,3,marble_100-0_b,Exp,"['AOI4', 'AOI4', 'AOI3', 'AOI3']",prag,7.749066666666667,4,1,marble_25-75_b-g,wheel_100-0_b,AOI3,3
always,undefined,"[1201, 3937, 5980, 6774]",The |marble |always lands on |yellow.,4,,marble_100-0_y,2,wheel_25-75_g-y,Exp,"['AOI3', 'AOI1', 'AOI2', 'AOI2']",prag,7.749066666666667,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,3
num100,undefined,"[1372, 2689, 4772, 6167]",The |arrow |has a 100% chance of landing on |yellow.,31,,wheel_100-0_y,2,marble_25-75_g-b,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI2']",late,7.749066666666667,1,1,marble_25-75_y-b,wheel_100-0_b,AOI2,3
num0,undefined,"[3288, 4395, 6128, 7486]",The |marble |has a 0% chance of landing on |green.,2,,marble_25-75_b-g,1,wheel_25-75_g-b,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",prag,7.749066666666667,2,1,wheel_100-0_g,marble_100-0_b,AOI1,3
num25,undefined,"[2027, 6544, 8310, 9178]",The |marble |has a 25% chance of landing on |yellow.,12,,wheel_25-75_b-y,3,marble_100-0_y,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",prag,7.749066666666667,4,1,marble_25-75_y-b,wheel_100-0_b,AOI3,3
always,undefined,"[1237, 3373, 5666, 6431]",The |arrow |always lands on |blue.,12,,marble_100-0_y,3,wheel_25-75_b-y,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,7.749066666666667,4,1,wheel_100-0_b,marble_25-75_y-b,AOI3,3
never,undefined,"[1213, 3029, 4769, 5542]",The |marble |never lands on |yellow.,1,,marble_100-0_b,2,wheel_25-75_y-b,Exp,"['AOI3', 'AOI1', 'AOI2', 'AOI2']",prag,7.749066666666667,1,1,wheel_100-0_y,marble_25-75_b-y,AOI2,3
num0,undefined,"[4339, 6172, 7905, 10318]",The |arrow |has a 0% chance of landing on |yellow.,25,,marble_25-75_y-g,3,wheel_100-0_y,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",late,7.749066666666667,4,1,wheel_100-0_g,marble_25-75_g-y,AOI3,3
num25,undefined,"[7667, 10399, 11970, 12698]",The |arrow |has a 25% chance of landing on |blue.,8,,marble_100-0_b,4,wheel_25-75_b-y,Filler,"['AOI3', 'AOI3', 'AOI4', 'AOI4']",prag,7.749066666666667,3,1,wheel_100-0_b,marble_25-75_b-y,AOI4,3
rarely,undefined,"[1249, 3506, 5155, 5799]",The |arrow |rarely lands on |green.,11,,marble_25-75_g-y,4,wheel_25-75_g-y,Exp,"['AOI3', 'AOI3', 'AOI4', 'AOI4']",prag,7.749066666666667,3,1,wheel_100-0_g,marble_100-0_g,AOI4,3
rarely,undefined,"[891, 2669, 4213, 4843]",The |marble |rarely lands on |green.,10,,marble_25-75_g-y,2,wheel_25-75_y-g,Exp,"['AOI4', 'AOI1', 'AOI2', 'AOI2']",prag,7.749066666666667,1,1,wheel_100-0_y,marble_100-0_g,AOI2,3
num75,undefined,"[2204, 3512, 4585, 5388]",The |arrow |has a 75% chance of landing on |green.,9,,wheel_100-0_b,1,marble_100-0_g,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",prag,7.749066666666667,2,1,marble_25-75_g-b,wheel_25-75_b-g,AOI1,3
usually,undefined,"[699, 3344, 4583, 5218]",The |arrow |usually lands on |green.,10,,marble_25-75_g-y,3,wheel_100-0_y,Exp,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",prag,7.749066666666667,4,1,wheel_25-75_y-g,marble_100-0_g,AOI3,3
num25,undefined,"[1030, 2271, 3396, 7747]",The |arrow |has a 25% chance of landing on |blue.,27,,marble_100-0_b,4,wheel_25-75_b-g,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI4']",late,7.749066666666667,3,1,wheel_25-75_g-b,marble_100-0_g,AOI4,3
usually,undefined,"[1234, 3129, 5097, 5752]",The |marble |usually lands on |yellow.,8,,marble_25-75_b-y,2,wheel_25-75_b-y,Exp,"['AOI3', 'AOI1', 'AOI2', 'AOI2']",prag,7.749066666666667,1,1,wheel_100-0_b,marble_100-0_b,AOI2,3
num0,undefined,"[1493, 3330, 4777, 6430]",The |marble |has a 0% chance of landing on |green.,26,,marble_100-0_g,1,wheel_25-75_g-b,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",late,7.749066666666667,2,1,wheel_25-75_b-g,marble_100-0_b,AOI1,3
num75,undefined,"[1072, 4936, 6682, 9804]",The |marble |has a 75% chance of landing on |yellow.,30,,wheel_100-0_y,4,marble_25-75_b-y,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI4']",late,7.749066666666667,3,1,marble_25-75_y-b,wheel_100-0_b,AOI4,3
num75,undefined,"[979, 2011, 4952, 5656]",The |marble |has a 75% chance of landing on |yellow.,11,,marble_25-75_g-y,2,wheel_100-0_g,Filler,"['AOI3', 'AOI3', 'AOI2', 'AOI2']",prag,7.749066666666667,1,1,wheel_25-75_g-y,marble_100-0_g,AOI2,3
num100,undefined,"[1596, 3141, 4507, 5401]",The |arrow |has a 100% chance of landing on |green.,2,,marble_25-75_b-g,4,wheel_100-0_g,Filler,"['AOI1', 'AOI3', 'AOI4', 'AOI4']",prag,7.749066666666667,3,1,wheel_25-75_g-b,marble_100-0_b,AOI4,3
num25,undefined,"[1440, 3147, 5605, 7302]",The |marble |has a 25% chance of landing on |green.,28,,marble_25-75_g-y,2,wheel_100-0_y,Filler,"['AOI3', 'AOI1', 'AOI1', 'AOI2']",late,7.749066666666667,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,3
always,undefined,"[1206, 2214, 3954, 4715]",The |arrow |always lands on |green.,3,,wheel_25-75_g-b,1,marble_25-75_g-b,Exp,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",prag,7.749066666666667,2,1,marble_100-0_g,wheel_100-0_g,AOI1,3
num100,undefined,"[1169, 3222, 4372, 5457]",The |marble |has a 100% chance of landing on |blue.,32,,wheel_25-75_g-b,3,marble_100-0_g,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",late,7.749066666666667,4,1,marble_100-0_b,wheel_25-75_b-g,AOI3,3
never,undefined,"[1001, 2660, 4541, 5392]",The |arrow |never lands on |green.,7,,marble_25-75_b-g,3,wheel_25-75_b-g,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,7.749066666666667,4,1,wheel_100-0_b,marble_100-0_b,AOI3,3
rarely,undefined,"[1284, 3222, 4559, 5142]",The |arrow |rarely lands on |yellow.,1,,wheel_100-0_y,1,marble_25-75_b-y,Exp,"['AOI3', 'AOI1', 'AOI1', 'AOI1']",prag,7.749066666666667,2,1,marble_100-0_b,wheel_25-75_y-b,AOI1,3
num75,undefined,"[1531, 3298, 7352, 10589]",The |arrow |has a 75% chance of landing on |green.,29,,wheel_25-75_g-y,1,marble_100-0_g,Filler,"['AOI1', 'AOI3', 'AOI1', 'AOI2']",late,7.749066666666667,2,1,marble_100-0_y,wheel_25-75_y-g,AOI1,3
usually,undefined,"[1410, 2387, 4425, 4870]",The |arrow |usually lands on |blue.,3,,wheel_100-0_g,1,marble_100-0_g,Exp,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",prag,7.749066666666667,2,1,marble_25-75_g-b,wheel_25-75_g-b,AOI1,3
never,undefined,"[1307, 2706, 3883, 4296]",The |marble |never lands on |blue.,5,,marble_25-75_y-b,1,wheel_25-75_y-b,Exp,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",prag,7.749066666666667,2,1,wheel_100-0_y,marble_100-0_y,AOI1,3
usually,undefined,,,1,The |arrow |usually lands on |blue.,marble_100-0_b,4,wheel_25-75_g-b,prac,"['AOI3', 'AOI3', 'AOI4', 'AOI4']",prac,5.1921333333333335,3,,wheel_100-0_g,marble_25-75_g-b,AOI4,4
num25,undefined,,,2,The |marble |has a 25% chance of landing on |green.,wheel_25-75_y-g,3,marble_100-0_g,prac,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",prac,5.1921333333333335,4,,marble_25-75_g-y,wheel_100-0_g,AOI3,4
num100,undefined,,,3,The |arrow |has a 100% chance of landing on |yellow.,wheel_100-0_y,2,marble_25-75_y-b,prac,"['AOI3', 'AOI1', 'AOI1', 'AOI2']",prac,5.1921333333333335,1,,marble_25-75_b-y,wheel_100-0_b,AOI2,4
never,undefined,,,4,The |marble |never lands on |green.,marble_25-75_b-g,1,wheel_25-75_b-g,prac,"['AOI3', 'AOI1', 'AOI1', 'AOI1']",prac,5.1921333333333335,3,,wheel_100-0_g,marble_100-0_b,AOI1,4
num0,undefined,"[1414, 2911, 4710, 6310]",The |marble |has a 0% chance of landing on |green.,2,,marble_25-75_b-g,1,wheel_25-75_g-b,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",prag,5.1921333333333335,2,1,wheel_100-0_g,marble_100-0_b,AOI1,4
always,undefined,"[1311, 2287, 3823, 5303]",The |marble |always lands on |yellow.,4,,marble_100-0_y,2,wheel_25-75_g-y,Exp,"['AOI1', 'AOI1', 'AOI2', 'AOI2']",prag,5.1921333333333335,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,4
num75,undefined,"[1255, 2431, 4863, 6047]",The |arrow |has a 75% chance of landing on |green.,29,,wheel_25-75_g-y,1,marble_100-0_g,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",late,5.1921333333333335,2,1,marble_100-0_y,wheel_25-75_y-g,AOI1,4
never,undefined,"[1128, 2672, 4488, 5376]",The |arrow |never lands on |yellow.,4,,marble_25-75_y-g,4,wheel_100-0_g,Exp,"['AOI1', 'AOI3', 'AOI4', 'AOI4']",prag,5.1921333333333335,3,1,wheel_25-75_g-y,marble_100-0_y,AOI4,4
always,undefined,"[1784, 2976, 4496, 5408]",The |arrow |always lands on |blue.,12,,marble_100-0_y,3,wheel_25-75_b-y,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,5.1921333333333335,4,1,wheel_100-0_b,marble_25-75_y-b,AOI3,4
never,undefined,"[1087, 2310, 3974, 4943]",The |marble |never lands on |blue.,5,,marble_25-75_y-b,1,wheel_25-75_y-b,Exp,"['AOI3', 'AOI1', 'AOI1', 'AOI1']",prag,5.1921333333333335,2,1,wheel_100-0_y,marble_100-0_y,AOI1,4
rarely,undefined,"[943, 2407, 4952, 6071]",The |marble |rarely lands on |blue.,7,,wheel_25-75_b-g,3,marble_100-0_b,Exp,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",prag,5.1921333333333335,4,1,marble_25-75_b-g,wheel_100-0_b,AOI3,4
never,undefined,"[1719, 2992, 4416, 5135]",The |arrow |never lands on |green.,7,,marble_25-75_b-g,3,wheel_25-75_b-g,Exp,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",prag,5.1921333333333335,4,1,wheel_100-0_b,marble_100-0_b,AOI3,4
usually,undefined,"[1959, 3119, 5671, 6759]",The |marble |usually lands on |blue.,9,,wheel_100-0_b,4,marble_25-75_g-b,Exp,"['AOI1', 'AOI3', 'AOI4', 'AOI4']",prag,5.1921333333333335,3,1,marble_100-0_g,wheel_25-75_b-g,AOI4,4
usually,undefined,"[1506, 2448, 3848, 4537]",The |arrow |usually lands on |green.,10,,marble_25-75_g-y,3,wheel_100-0_y,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,5.1921333333333335,4,1,wheel_25-75_y-g,marble_100-0_g,AOI3,4
num0,undefined,"[1094, 2414, 4438, 5638]",The |arrow |has a 0% chance of landing on |blue.,5,,wheel_100-0_y,2,marble_25-75_y-b,Filler,"['AOI3', 'AOI1', 'AOI2', 'AOI2']",prag,5.1921333333333335,1,1,marble_100-0_y,wheel_25-75_y-b,AOI2,4
num75,undefined,"[1992, 3064, 4488, 5552]",The |marble |has a 75% chance of landing on |yellow.,11,,marble_25-75_g-y,2,wheel_100-0_g,Filler,"['AOI3', 'AOI1', 'AOI2', 'AOI2']",prag,5.1921333333333335,1,1,wheel_25-75_g-y,marble_100-0_g,AOI2,4
num0,undefined,"[1712, 3096, 4880, 6280]",The |marble |has a 0% chance of landing on |green.,26,,marble_100-0_g,1,wheel_25-75_g-b,Filler,"['AOI3', 'AOI1', 'AOI1', 'AOI1']",late,5.1921333333333335,2,1,wheel_25-75_b-g,marble_100-0_b,AOI1,4
num25,undefined,"[1119, 2118, 4143, 7391]",The |marble |has a 25% chance of landing on |green.,28,,marble_25-75_g-y,2,wheel_100-0_y,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI2']",late,5.1921333333333335,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,4
num25,undefined,"[1479, 2783, 4238, 5102]",The |marble |has a 25% chance of landing on |yellow.,12,,wheel_25-75_b-y,3,marble_100-0_y,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",prag,5.1921333333333335,4,1,marble_25-75_y-b,wheel_100-0_b,AOI3,4
num100,undefined,"[1775, 2839, 3911, 4599]",The |marble |has a 100% chance of landing on |yellow.,6,,wheel_25-75_y-g,3,marble_25-75_y-g,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",prag,5.1921333333333335,4,1,marble_100-0_y,wheel_100-0_y,AOI3,4
num100,undefined,"[912, 1712, 3176, 4280]",The |marble |has a 100% chance of landing on |blue.,32,,wheel_25-75_g-b,3,marble_100-0_g,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",late,5.1921333333333335,4,1,marble_100-0_b,wheel_25-75_b-g,AOI3,4
num100,undefined,"[1144, 2488, 3704, 4840]",The |arrow |has a 100% chance of landing on |yellow.,31,,wheel_100-0_y,2,marble_25-75_g-b,Filler,"['AOI3', 'AOI1', 'AOI1', 'AOI2']",late,5.1921333333333335,1,1,marble_25-75_y-b,wheel_100-0_b,AOI2,4
num0,undefined,"[1304, 2608, 4152, 5984]",The |arrow |has a 0% chance of landing on |yellow.,25,,marble_25-75_y-g,3,wheel_100-0_y,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",late,5.1921333333333335,4,1,wheel_100-0_g,marble_25-75_g-y,AOI3,4
rarely,undefined,"[1024, 2264, 3872, 5096]",The |marble |rarely lands on |green.,10,,marble_25-75_g-y,2,wheel_25-75_y-g,Exp,"['AOI3', 'AOI1', 'AOI2', 'AOI2']",prag,5.1921333333333335,1,1,wheel_100-0_y,marble_100-0_g,AOI2,4
num25,undefined,"[1695, 3416, 4911, 5608]",The |arrow |has a 25% chance of landing on |blue.,8,,marble_100-0_b,4,wheel_25-75_b-y,Filler,"['AOI2', 'AOI3', 'AOI4', 'AOI4']",prag,5.1921333333333335,3,1,wheel_100-0_b,marble_25-75_b-y,AOI4,4
usually,undefined,"[1136, 1847, 3503, 4479]",The |arrow |usually lands on |blue.,3,,wheel_100-0_g,1,marble_100-0_g,Exp,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",prag,5.1921333333333335,2,1,marble_25-75_g-b,wheel_25-75_g-b,AOI1,4
num75,undefined,"[1071, 2520, 4055, 6855]",The |marble |has a 75% chance of landing on |yellow.,30,,wheel_100-0_y,4,marble_25-75_b-y,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI4']",late,5.1921333333333335,3,1,marble_25-75_y-b,wheel_100-0_b,AOI4,4
always,undefined,"[1544, 3183, 4279, 4856]",The |arrow |always lands on |green.,3,,wheel_25-75_g-b,1,marble_25-75_g-b,Exp,"['AOI3', 'AOI1', 'AOI1', 'AOI1']",prag,5.1921333333333335,2,1,marble_100-0_g,wheel_100-0_g,AOI1,4
num25,undefined,"[1031, 2224, 4082, 5367]",The |arrow |has a 25% chance of landing on |blue.,27,,marble_100-0_b,4,wheel_25-75_b-g,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI4']",late,5.1921333333333335,3,1,wheel_25-75_g-b,marble_100-0_g,AOI4,4
num100,undefined,"[1527, 2311, 3743, 4623]",The |arrow |has a 100% chance of landing on |green.,2,,marble_25-75_b-g,4,wheel_100-0_g,Filler,"['AOI3', 'AOI3', 'AOI4', 'AOI4']",prag,5.1921333333333335,3,1,wheel_25-75_g-b,marble_100-0_b,AOI4,4
num75,undefined,"[1486, 2751, 3871, 4918]",The |arrow |has a 75% chance of landing on |green.,9,,wheel_100-0_b,1,marble_100-0_g,Filler,"['AOI4', 'AOI2', 'AOI1', 'AOI1']",prag,5.1921333333333335,2,1,marble_25-75_g-b,wheel_25-75_b-g,AOI1,4
rarely,undefined,"[1399, 2527, 3855, 4479]",The |arrow |rarely lands on |green.,11,,marble_25-75_g-y,4,wheel_25-75_g-y,Exp,"['AOI1', 'AOI3', 'AOI4', 'AOI4']",prag,5.1921333333333335,3,1,wheel_100-0_g,marble_100-0_g,AOI4,4
always,undefined,"[1175, 2303, 3847, 4431]",The |marble |always lands on |yellow.,6,,wheel_25-75_y-g,4,marble_100-0_y,Exp,"['AOI1', 'AOI3', 'AOI4', 'AOI4']",prag,5.1921333333333335,3,1,marble_25-75_y-g,wheel_100-0_y,AOI4,4
usually,undefined,"[1159, 2383, 3663, 4601]",The |marble |usually lands on |yellow.,8,,marble_25-75_b-y,2,wheel_25-75_b-y,Exp,"['AOI3', 'AOI1', 'AOI2', 'AOI2']",prag,5.1921333333333335,1,1,wheel_100-0_b,marble_100-0_b,AOI2,4
rarely,undefined,"[1365, 2525, 4685, 5309]",The |arrow |rarely lands on |yellow.,1,,wheel_100-0_y,1,marble_25-75_b-y,Exp,"['AOI3', 'AOI1', 'AOI1', 'AOI1']",prag,5.1921333333333335,2,1,marble_100-0_b,wheel_25-75_y-b,AOI1,4
never,undefined,"[1307, 2400, 3855, 5072]",The |marble |never lands on |yellow.,1,,marble_100-0_b,2,wheel_25-75_y-b,Exp,"['AOI1', 'AOI1', 'AOI2', 'AOI2']",prag,5.1921333333333335,1,1,wheel_100-0_y,marble_25-75_b-y,AOI2,4
